PrepId,Description,PakQty,PakUOM,InventoryGroup,StdQty,StdUom
P-35251,SAUCE|Pesto|Arugula,769.0,ml,PRODUCTION FOOD,769.0,ml
P-56457,SAUCE|Pickled Jalapeno Mayo,2.4,L,PREP,2400.0,ml
P-43674,SAUCE|Ponzu,250.0,ml,PREP,250.0,ml
P-26628,SAUCE|Poutine Gravy|Batch,4.25,L,PREP,4250.0,ml
P-50756,SAUCE|Queso Cheese,3.1,L,,3100.0,ml
P-71531,SAUCE|Red Chile Adobo,4.326,L,,4326.0,ml
P-71460,SAUCE|Red Chimichuri,2.2,L,PREP,2200.0,ml
P-54390,SAUCE|Red Eye Gravy,2.7,L,,2700.0,ml
P-11375,SAUCE|Red Thai Curry,11.0,L,PREP,11000.0,ml
P-42355,SAUCE|Roasted Pineapple|Batch,7.25,L,PREP,7250.0,ml
P-71172,SAUCE|Roasted Red Pepper Couli,5.0,L,,5000.0,ml
P-61910,SAUCE|Salmon Pot Pie,6.4,Kg,,6400.0,g
P-41547,SAUCE|Salsa Verde,30.0,L,PREP,30000.0,ml
P-56687,SAUCE|Shakshuka|VEG,1.7,Kg,PREP,1700.0,g
P-40595,SAUCE|Soy Ginger Dip,1.0,L,PREP,1000.0,ml
P-70780,SAUCE|Soy Glaze,6.5,L,,6500.0,ml
P-55246,SAUCE|Spanish Tomato,20.6,L,,20600.0,ml
P-62383,SAUCE|Spicy BBQ,1.25,L,,1250.0,ml
P-43584,SAUCE|Sriracha Sour Cream,2.5,L,PREP,2500.0,ml
P-10874,SAUCE|Sweet & Sour ,35.0,L,PREP,35000.0,ml
P-65536,SAUCE|Sweet & Sour 2.0,470.0,ml,,470.0,ml
P-62384,SAUCE|Sweet Chili ,1.7,L,,1700.0,ml
P-15354,SAUCE|Tartar,3.0,L,PREP,3000.0,ml
P-33555,SAUCE|Tartar|GRL,5.0,L,PREP,5000.0,ml
P-50917,SAUCE|Teriyaki,20.0,L,PREP,20000.0,ml
P-26226,SAUCE|Tomato,4.0,L,PREP,4000.0,ml
P-57154,SAUCE|Tonkatsu,4.0,L,PREP,4000.0,ml
P-35848,SAUCE|Tzatziki Sauce,3.0,L,PREP,3000.0,ml
P-36076,SAUCE|Vindaloo ,10.0,L,PREP,10000.0,ml
P-44569,SAUCElBihon,2.6,L,FEAST,2600.0,ml
P-45423,SAUCElBulgogi ,5.5,L,FEAST,5500.0,ml
P-43243,SAUCElChipotle Mayo,4.3,L,FEAST,4300.0,ml
P-42412,SAUCElChipotle Sour Cream,2.9,L,FEAST,2900.0,ml
P-46422,"SAUCElCorn ""Salsa""",10.0,L,,10000.0,ml
P-47166,SAUCElCorn Starch Slurry,1235.0,g,,1235.0,g
P-44686,SAUCElDan Dan ,15.0,L,FEAST,15000.0,ml
P-34892,SaucelHollandaise ,4.5,L,,4500.0,ml
P-46501,SAUCElHoney Mustard Aoili,2.1,L,,2100.0,ml
P-55299,SAUCElWasabi Mayo,1.0,L,,1000.0,ml
P-56557,SAUTE|Ginger Beef Vegetable,4.5,Kg,,4500.0,g
P-55134,SAUTEE|Spin Artichoke Veg,8.0,Kg,,8000.0,g
