ProdId,Description,SalesGroup
R-55318,DES|Cookie|Ed's ValentineJumbo,GV - DESSERT
R-19981,DES|Cookie|English Bay|Wrapped,GV - DESSERT
R-47970,DES|Cookie|Festive Tree & Bell,GV - GRAB & GO
R-38976,DES|Cookie|Halloween Choc,GV - DESSERT
R-48911,DES|Cookie|Heart Valentine,GV - DESSERT
R-38975,DES|Cookie|Pumkin Sugar,GV - DESSERT
R-38961,DES|Cookie|Pumpkin|Trumps,GV - DESSERT
R-49810,DES|Cookie|Shamrock,GV - DESSERT
R-47968,DES|Cookie|Shortbread,GV - GRAB & GO
R-13571,DES|Cookie|Supreme Asst,GV - DESSERT
R-54028,DES|Cookie|Uncle Ed's|4 pack,GV - DESSERT
R-54027,DES|Cookie|Uncle Ed's|6 pack,GV - DESSERT
R-60972,DES|Cookie|Valentin Gingerbear,GV - DESSERT
R-55087,DES|Cookie|Valentine Heart|CK,GV - DESSERT
R-55088,DES|Cookie|Valentine Raspberry,GV - DESSERT
R-39828,DES|Cookie|Wendel's|Almond,GV - DESSERT
R-39841,DES|Cookie|Wendel's|Choc Chip,GV - DESSERT
R-38944,DES|Cookie|Wendel's|Ginger,GV - DESSERT
R-48910,DES|Cookie|Xmas|Ginger Bear,GV - DESSERT
R-41180,DES|Cookie|Xmas|Gingersnap,GV - DESSERT
R-54317,DES|Cookie|Xmas|Snowflake,GV - DESSERT
R-41179,DES|Cookie|Xmas|Tree/Bell,GV - DESSERT
R-64337,DES|Copenhage|HC,GV - GRAB & GO
R-66176,DES|Cupcake|Easter|GF||Trump,GV - DESSERT
R-64386,DES|Danish|Butterhorn|HC,GV - DESSERT
R-49936,DES|Danish|Custard Crown,GV - DESSERT
R-30518,DES|Danish|Greek Cherry Yogurt,GV - DESSERT
R-64387,DES|Danish|Poppyhorn|HC,GV - DESSERT
R-49938,DES|Danish|Raspberry Crown,GV - DESSERT
R-13163,DES|Danish|Supreme Asst,GV - DESSERT
R-16341,DES|Eclair|Chocolate,GV - DESSERT
R-63858,DES|Eclair|Chocolate DON'T USE,GV - DESSERT
R-14193,DES|Jello|Asst,GV - DESSERT
R-13189,DES|Loaf|Sweet Asst,GV - DESSERT
R-13174,DES|Muffin|Asst,GV - DESSERT
R-54311,DES|Muffin|Blueberry|GF,GV - DESSERT
R-13851,DES|Pie|Slice Asst,GV - DESSERT
R-52986,DES|Pudding|Coco Rice.,GV - GRAB & GO
R-13173,DES|Scone|Asst,GV - GRAB & GO
R-34899,DES|Square|Choc Truffle Mousse,GV - GRAB & GO
R-22315,DES|Square|Half Asst,GV - GRAB & GO
R-38487,DES|Square|Mango Mousse,GV - DESSERT
R-65524,DES|Square|Trump|Brownie|GF,GV - DESSERT
R-67361,DES|Square|Trump|Brownie|GF.,GV - DESSERT
R-38962,DES|Square|Wendel's|Brownie,GV - DESSERT
R-39824,DES|Square|Wendel's|Brownies,GV - DESSERT
R-41283,DES|Square|Wendel's|CarrotCake,GV - DESSERT
R-38949,DES|Square|Wendel's|Nanaimo,GV - DESSERT
R-22314,DES|Square|Whole Asst,GV - DESSERT
R-22861,DES|Strudel|Asst,GV - DESSERT
R-47009,DES|Tart||Pumpkin|CK,PRODUCTION FOOD
R-34096,DES|Tart|Butter,GV - DESSERT
R-66178,"DES|Tart|Easter|Lemon 4""|Trump",GV - DESSERT
R-65532,DES|Tart|Fresh Fruit|Hillcrest,GV - DESSERT
R-33536,DES|Tart|Lemon,GV - DESSERT
R-41178,DES|Tart|Mincemeat|CK,PRODUCTION FOOD
R-52681,DES|Tart|Trump|Hazelnut,GV - DESSERT
R-52688,DES|Tart|Trump|Pecan,GV - DESSERT
R-38960,DES|Tart|Trumps|Pumpkin ,GV - DESSERT
R-38946,DES|Tart|Wendel's|Buttertart,GV - DESSERT
R-38945,DES|Tart|Wendel's|Choc Pecan,GV - DESSERT
R-53447,DIM SUM|Beef Balls (3),GV - DIM SUM
R-54321,DIM SUM|Beef Stir Stirfry|SP,GV - DIM SUM
R-14085,DIM SUM|Bun|BBQ Pork (1),GV - DIM SUM
R-37741,DIM SUM|Bun|Chicken (1),GV - DIM SUM
R-47286,DIM SUM|Bun|Vegetable (1),GV - DIM SUM
R-54643,DIM SUM|Chicken Stirfry|SP,GV - DIM SUM
R-52503,DIM SUM|Dry Pork Stirfry|SP,GV - DIM SUM
R-49029,DIM SUM|Dumplings (3),GV - DIM SUM
R-44499,DIM SUM|Egg Roll Veg (1),GV - DIM SUM
R-49030,DIM SUM|Potstickers (3),GV - DIM SUM
R-48636,DIM SUM|Soup|Wonton,GV - DIM SUM
R-54645,DIM SUM|Tofu Stir Stirfry|SP,GV - DIM SUM
R-37809,DIM SUM|Wrap Sticky Rice (1),GV - DIM SUM
R-49569,DOD|Bouillabaisse|FLX,GV-FLEX DOD
R-49568,DOD|Cone Seaweed Kimchi|POP,GV-FLEX DOD
R-47099,DOD|Potato salad | Add tuna,GV-FLEX DOD
R-47098,DOD|Potato salad|FLX,GV-FLEX DOD
R-49836,DOD|Rice Coconut|SIDE ,GV-FLEX DOD
R-49590,DOD|Scallop Salad|POP,GV-FLEX DOD
R-49710,DOD|SideSousVide Sockeye|SIDE,GV-FLEX DOD
R-49570,DOD|SousVide salmon|FLX,GV-FLEX DOD
R-53312,Eat It|Empanada & Beans|POP,SPECIALS
R-53324,Eat It|Glazed Chick Plate|POP,SPECIALS
R-53316,Eat It|Stuffed Port Plate|POP,SPECIALS
R-45162,FF|Avocado Egg (2 pcs),GV FRESH FARE DAY
R-48916,FF|Beet Wellington,GV FRESH FARE DAY
R-50313,FF|Bfast Sand|NEW PLANT BASED,GV - GRILL BREAKFAST
R-54202,FF|Bibimbap Bowl|AAD,GV FRESH FARE DAY
R-54754,FF|Blueberry toast|SP,SPECIALS
R-37707,FF|Bowl|5 Alarm,GV FRESH FARE DAY
R-64951,FF|Bowl|Asparagus scramble|AAD,GV FRESH FARE BREAKFAST
R-40618,FF|Bowl|Baja Breakfast,GV FRESH FARE BREAKFAST
R-48121,FF|Bowl|Bfast Mushroom Quinoa,SPECIALS
R-27275,FF|Bowl|Black Bean Break|AAD,GV FRESH FARE BREAKFAST
R-65942,FF|Bowl|chilimiso scramble|AAD,GV FRESH FARE BREAKFAST
R-32886,FF|Bowl|Curried Chickpea|AAD,SPECIALS
R-43738,FF|BOWL|Dobanjiang Noodle|AAD ,OK - VEGETARIAN KITCHEN
R-57179,FF|Bowl|Fajita VEG|AAD,GV FRESH FARE DAY
R-36666,FF|Bowl|Five Alarm,GV FRESH FARE DAY
R-36575,FF|Bowl|Gather|AAD,GV FRESH FARE DAY
R-54039,FF|Bowl|Kale|AAD,GV FRESH FARE DAY
R-53815,FF|Bowl|Kambocha breakfast,GV FRESH FARE DAY
R-55057,FF|Bowl|Mediterranean|AAD,GV FRESH FARE DAY
R-64398,FF|Bowl|OysterMushroom|AAD,SPECIALS
R-61859,FF|Bowl|Poached Egg Asparagus,GV FRESH FARE DAY
R-65761,FF|Bowl|Poached Egg Zuc.|AAD,GV FRESH FARE DAY
R-35341,FF|Bowl|Polenta|AAD,OK - SIDES
R-50333,FF|Bowl|Roasted squash|AAD,GV FRESH FARE DAY
R-65513,FF|Bowl|Salsa scramble|AAD,GV FRESH FARE BREAKFAST
R-50334,FF|Bowl|SP2,GV FRESH FARE DAY
R-55683,FF|Bowl|St Patricks day|SP,GV FRESH FARE DAY
R-40621,FF|Bowl|Thai Coconut|AAD,GV FRESH FARE DAY
R-51215,FF|Bowl|White bean breaky|AAD,GV FRESH FARE BREAKFAST
R-67295,FF|BowlEggplant miso|AAD,GV GYAZA
R-56895,FF|Brussel Sprout Pasta|AAD,OK - GLOBAL KITCHEN 
R-64698,FF|Burger|TMRW mushroom crunch,GV FRESH FARE DAY
R-44914,FF|Burger|Ultimate Veggie,GV FRESH FARE DAY
R-37705,FF|Egg'sadilla,GV FRESH FARE BREAKFAST
R-36647,FF|Egg'sadilla|Black Bean|AAD,GV FRESH FARE BREAKFAST
R-70646,FF|Egg'sadilla|mango salsa|AAD,GV FRESH FARE BREAKFAST
R-55942,FF|Falafel bowl|AAD,FEAST
R-55482,FF|French toast & fruit|Sp,SPECIALS
R-47287,FF|Omelet|Egg White ,GV FRESH FARE BREAKFAST
R-70058,FF|Omelette|3Cheese|AAD,GV FRESH FARE BREAKFAST
R-46495,FF|Omelette|Cheese +2|AAD,GV FRESH FARE BREAKFAST
R-46496,FF|Omelette|Cheese +3|AAD,GV FRESH FARE BREAKFAST
R-46497,FF|Omelette|Cheese|AAD,GV FRESH FARE BREAKFAST
R-44705,FF|Omelette|Cheese|AAD +1,GV FRESH FARE BREAKFAST
R-70095,FF|Omelette|Mushroom&Ched|AAD,GV FRESH FARE BREAKFAST
R-71818,FF|Omelette|Pepper&Onion|AAD,ADD ONS
R-44732,FF|Omelette|Shitake Mozza|AAD,ADD ONS
R-70056,FF|Omelette|Spanish|AAD,GV FRESH FARE BREAKFAST
R-70057,FF|Omelette|SpinachFeta|AAD,GV FRESH FARE BREAKFAST
