ProdId,Description,SalesGroup,Weight (g),GHG Emission (g),N lost (g),Land Use (m^2),Freshwater Withdrawals (L),Stress-Weighted Water Use (L),GHG Emission (g) / 100g,N lost (g) / 100g,Freshwater Withdrawals (L) / 100g,Stress-Weighted Water Use (L) / 100g,Land Use (m^2) / 100g
R-46380,BEV|Fruit Water|Black Cherry,FT BEVERAGES,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-46381,BEV|Fruit Water|Peach Mango,FT BEVERAGES,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-38309,BEV|Happy Planet|Blackberry,FT BEVERAGES,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-39281,BEV|Happy Planet|Coconut Pinea,FT BEVERAGES,1.0,0.4306,0.0027,0.00071,0.0,0.0,43.06,0.27,0.0,0.0,0.07
R-58276,BEV|Happy Planet|Extreme 'C',FT BEVERAGES,1.0,0.3942,0.0027,0.00042,0.04,1.35,39.42,0.27,4.0,135.0,0.04
R-38607,BEV|Happy Planet|Extreme Energ,FT BEVERAGES,1.0,0.3942,0.0027,0.00042,0.04,1.35,39.42,0.27,4.0,135.0,0.04
R-37537,BEV|Happy Planet|Extreme Green,FT BEVERAGES,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-38603,BEV|Happy Planet|Mango Passion,FT BEVERAGES,1.0,0.4306,0.0027,0.00071,0.0,0.0,43.06,0.27,0.0,0.0,0.07
R-37833,BEV|Happy Planet|Raspberry,FT BEVERAGES,1.0,1.6547,0.0027,0.0007,0.4,16.25,165.47,0.27,40.0,1625.0,0.07
R-22296,BEV|Hot Apple Cider|Package,FT BEVERAGES,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-49312,BEV|Hot Chocolate|Package,FT BEVERAGES,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-34518,BEV|Ice Tea|Gold Peak|Lemon,FT BEVERAGES,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-38376,BEV|Ice Tea|Gold Peak|Raspberr,FT BEVERAGES,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-38190,BEV|Ice Tea|Gold Peak|Unsweet,FT BEVERAGES,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-38593,BEV|Ice Tea|Nestea|Green|500ml,FT BEVERAGES,473.0,0.0,0.0,0.0,0.47,0.47,0.0,0.0,0.1,0.1,0.0
R-37560,BEV|Ice Tea|Nestea|Half|500ml,FT BEVERAGES,500.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.1,0.1,0.0
R-38151,BEV|Ice Tea|Nestea|Lemon|500ml,FT BEVERAGES,500.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.1,0.1,0.0
R-38903,BEV|Ice Tea|Nestea|Zero|500ml,FT BEVERAGES,500.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.1,0.1,0.0
R-22871,BEV|Ice Tea|Steaz|Asst,FT BEVERAGES,406.9200000000001,117.40096500000001,0.191565,0.049665,28.96,1152.93,28.85,0.05,7.12,283.33,0.01
R-38887,BEV|Ice Tea|Steaz|Blueberry ,FT BEVERAGES,473.0,782.6731,1.2771000000000001,0.3311,190.86,7683.93,165.47,0.27,40.35,1624.51,0.07
R-40501,BEV|Ice Tea|Steaz|Coconut,FT BEVERAGES,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-53025,BEV|Ice Tea|Steaz|Goji ,FT BEVERAGES,473.0,0.0,0.0,0.0,0.47,0.47,0.0,0.0,0.1,0.1,0.0
