PrepId,Description,PakQty,PakUOM,InventoryGroup,StdQty,StdUom,GHG Emission (g),GHG Emission(g)/StdUom,N lost (g),N lost (g)/StdUom,Freshwater Withdrawals (ml),Freshwater Withdrawals (ml)/StdUom,Stress-Weighted Water Use (ml),Stress-Weighted Water Use (ml)/StdUom,Land Use (m^2),Land Use (m^2)/StdUom
P-42354,BATCH|Pulled Pork Braise,36.0,Kg,PREP,36000.0,g,397076.8831428572,11.029913420634921,5354.62578968254,0.14873960526895944,72597152.28373016,2016.587563436949,2179633345.3869047,60545.370705191795,846.3995055555515,0.023511097376543097
P-58350,BATCH|Pumpkin Coconut Sauce,5.0,L,,5000.0,ml,2480.720470731882,0.4961440941463764,25.109884102669817,0.005021976820533964,236197.80670482907,47.239561340965814,11374780.126144875,2274.956025228975,5.76634027110414,0.001153268054220828
P-53239,BATCH|Pumpkin Gnocchi|POP,2.4,Kg,,2400.0,g,2816.4409,1.1735170416666667,38.060249999999996,0.0158584375,527564.7000000001,219.81862500000003,17237630.900000002,7182.346208333334,7.064999999999939,0.0029437499999999746
P-56424,BATCH|Raita ,2.1,Kg,PRODUCTION FOOD,2100.0,g,3966.3309981964444,1.8887290467602116,34.5355301963649,0.016445490569697574,347300.69050183124,165.38128119134822,16037974.438255016,7637.130684883341,5.034348852363826,0.0023973089773161077
P-56633,BATCH|Ramen Surimi|BASIC,600.0,g,,600.0,g,3360.63,5.60105,48.3,0.0805,1011590.0,1685.9833333333333,6952140.0,11586.9,4.824,0.00804
P-56322,BATCH|Ratatouille Provencal,23.0,Kg,,23000.0,g,18214.354153569962,0.7919284414595635,206.66387083215034,0.008985385688354363,2131485.528690357,92.67328385610249,98074574.05908212,4264.111915612266,39.59549783059335,0.0017215433839388413
P-56534,BATCH|Red Coconut Curry ,3.36,Kg,,3360.0,g,3597.126190711577,1.0705732710451121,31.104149902758778,0.00925718747105916,164693.9617905465,49.01606005671027,5563807.223577051,1655.8950070169797,15.177331292054708,0.004517062884540092
P-67830,BATCH|Red Lentil Curry|VEGAN,1.5,Kg,PREP,1500.0,g,1757.3622672011174,1.171574844800745,6.981615422640729,0.004654410281760486,66322.22197569301,44.21481465046201,3784648.8131491006,2523.099208766067,6.47657262014512,0.004317715080096747
P-71361,BATCH|Relleno Custard,3.2,L,,3200.0,ml,16056.760000000002,5.017737500000001,129.84,0.040575,1068084.0,333.77625,75530167.19999999,23603.177249999997,22.1183999999999,0.006911999999999969
P-61118,BATCH|Relleno|Egg Batter,900.0,ml,,300.0,g,5492.25,18.3075,91.8,0.306,949350.0,3164.5,27931500.0,93105.0,10.26,0.0342
P-62403,BATCH|RELLENO|Poblano,1.0,each,,261.0,g,959.9985287653915,3.678155282626021,11.737403484217495,0.044970894575545955,161521.42333208473,618.8560280922786,4456425.212141912,17074.426100160585,2.2358795881497002,0.00856658846034368
