Category,Displayed Name,ProdId,Description,SalesGroup,Weight (g),GHG Emission (g),N lost (g),Land Use (m^2),Freshwater Withdrawals (L),Stress-Weighted Water Use (L),GHG Emission (g) / 100g,N lost (g) / 100g,Freshwater Withdrawals (L) / 100g,Stress-Weighted Water Use (L) / 100g,Land Use (m^2) / 100g,GHG Only Label,Combined Label
CST,Fried Rice Friday,R-51828,CST|Fried Rice Friday|Meat,OK - CUSTOM KITCHEN,759.0,2041.347447475047,18.330921001449138,3.18288944680236,387.21,6550.83,268.95,2.42,51.02,863.09,0.42,Yellow,Yellow
CST,Fried Rice Friday,R-51276,CST|Fried Rice Friday|No Meat,OK - CUSTOM KITCHEN,689.0,906.910602893211,8.380157085020182,1.871862599082776,264.42,2729.06,131.63,1.22,38.38,396.09,0.27,Green,Green
CST,Gyoza ,R-59589,CST|Gyoza |Asst|5 pc,OK - CUSTOM KITCHEN,228.7500000000001,465.4804640258206,6.980176574274756,0.0798743485343183,80.47,2215.77,203.49,3.05,35.18,968.64,0.03,Yellow,Yellow
CST,Pork,R-58440,CST|Pork,OK - CUSTOM KITCHEN,689.0,1476.3205648430103,16.88868360546797,3.4296085103099303,290.67,7017.66,214.27,2.45,42.19,1018.53,0.5,Yellow,Yellow
CST,Salmon,R-37172,CST|Salmon,OK - CUSTOM KITCHEN,599.0,1026.5995877780067,11.142229542025447,1.9348161672360067,261.01,2585.29,171.39,1.86,43.57,431.6,0.32,Green,Green
CST,Sand,R-50018,CST|Sand|Chickpea Roti,OK - CUSTOM KITCHEN,219.0,447.7250137480064,1.878217454909201,2.987408767718503,9.4,555.76,204.44,0.86,4.29,253.77,1.36,Yellow,Yellow
CST,SAUCE,R-61698,CST|SAUCE|Curry Red,OK - CUSTOM KITCHEN,60.0,233.56843764,0.0600904439999999,0.0812872007999999,0.27,9.15,389.28,0.1,0.45,15.25,0.14,Red,Green
CST,SAUCE,R-61696,CST|SAUCE|Gochujang,OK - CUSTOM KITCHEN,60.0,28.865472000000004,0.2851368,0.0809265599999999,1.06,57.27,48.11,0.48,1.77,95.45,0.13,Green,Green
CST,SAUCE,R-51942,CST|SAUCE|Green Onion Ginger,OK - CUSTOM KITCHEN,60.0,24.067170705240716,0.2141107854772857,0.0689519428412428,0.43,20.42,40.11,0.36,0.72,34.03,0.11,Green,Green
CST,SAUCE,R-61692,CST|SAUCE|Green Thai Curry,OK - CUSTOM KITCHEN,60.0,225.6145164,0.1115411,0.0417157599999998,0.88,34.49,376.02,0.19,1.47,57.48,0.07,Yellow,Green
