Category,Displayed Name,ProdId,Description,SalesGroup,Weight (g),GHG Emission (g),N lost (g),Land Use (m^2),Freshwater Withdrawals (L),Stress-Weighted Water Use (L),GHG Emission (g) / 100g,N lost (g) / 100g,Freshwater Withdrawals (L) / 100g,Stress-Weighted Water Use (L) / 100g,Land Use (m^2) / 100g,GHG Only Label,Combined Label
BEV,Core Power,R-64153,BEV|Core Power|StrawberryBana,BEVERAGE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Green,Green
BEV,Core Power,R-38098,BEV|Core Power|StrawberryBanan,BEVERAGE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Green,Green
BEV,Core Power,R-38035,BEV|Core Power|Vanilla,BEVERAGE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Green,Green
BEV,Fruit Water,R-45971,BEV|Fruit Water|Black Cherry,BEVERAGE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Green,Green
BEV,Fruit Water,R-45972,BEV|Fruit Water|Peach Mango,BEVERAGE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Green,Green
BEV,Fruit Water,R-45973,BEV|Fruit Water|Pineapple ,BEVERAGE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Green,Green
BEV,Happy Planet,R-37748,BEV|Happy Planet|Blackberry,BEVERAGE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Green,Green
BEV,Happy Planet,R-38280,BEV|Happy Planet|Coconut Pinea,BEVERAGE,1.0,0.4306,0.0027,0.00071,0.0,0.0,43.06,0.27,0.0,0.0,0.07,Green,Green
BEV,Happy Planet,R-58276,BEV|Happy Planet|Extreme 'C',BEVERAGE,1.0,0.3942,0.0027,0.00042,0.04,1.35,39.42,0.27,4.0,135.0,0.04,Green,Green
BEV,Happy Planet,R-37786,BEV|Happy Planet|Extreme Energ,BEVERAGE,1.0,0.3942,0.0027,0.00042,0.04,1.35,39.42,0.27,4.0,135.0,0.04,Green,Green
BEV,Happy Planet,R-38524,BEV|Happy Planet|Extreme Green,BEVERAGE,1.0,0.5029,0.0079,0.00119,0.08,2.94,50.29,0.79,8.0,294.0,0.12,Green,Green
BEV,Happy Planet,R-37749,BEV|Happy Planet|Mango Passion,BEVERAGE,1.0,0.4306,0.0027,0.00071,0.0,0.0,43.06,0.27,0.0,0.0,0.07,Green,Green
BEV,Happy Planet,R-37743,BEV|Happy Planet|Raspberry,BEVERAGE,1.0,1.6547,0.0027,0.0007,0.4,16.25,165.47,0.27,40.0,1625.0,0.07,Green,Green
BEV,Hot Chocolate,R-45985,BEV|Hot Chocolate|Package,BEVERAGE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Green,Green
BEV,Ice Tea,R-47498,BEV|Ice Tea|Gold Peak|Green,BEVERAGE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Green,Green
BEV,Ice Tea,R-34518,BEV|Ice Tea|Gold Peak|Lemon,BEVERAGE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Green,Green
